"Purchase","ShareLink","Deal01","Deal02","Deal03","Deal04","PQ1","PQ2","PQ3","PV1","PV2","PV3","PC1","PC2","PC3","PC4","FNE1","FNE2","FNE3","FNE4","Spont01","Spont02","Spont03","Spont04","Spont05","Risk01","Risk02","Risk03","Risk04","Risk05","Ratio01","Ratio02","Ratio03","Ratio04","Intuit01","Intuit02","Intuit03","Intuit04","Intuit05","Depend01","Depend02","Depend03","Depend04","Depend05","dGender","YrBirth","IBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSport","dFraternity","dAssoc","dAbroad"
80,75,1,2,4,1,2,2,2,1,3,2,1,2,3,3,3,2,3,3,1,2,2,1,1,3,2,2,2,2,3,2,2,2,2,1,3,2,1,3,2,2,2,2,1,1994,2,65,20,5,15,15,1,1,1,1,2,1,1
10,2,1,1,2,1,2,3,2,3,3,2,1,2,2,2,6,2,2,3,6,6,5,6,5,3,6,4,5,3,2,1,3,2,3,3,2,2,2,6,2,4,2,6,2,1997,1,81,0,0,3,2,2,3,2,1,1,2,2
10,15,2,2,1,2,3,3,3,6,4,6,3,3,3,3,3,6,3,5,6,5,5,5,4,3,6,3,4,3,3,3,2,2,4,4,4,4,3,3,5,3,3,3,2,1998,1,80,13,2,12,25,3,3,2,1,2,2,2
26,15,1,1,1,3,2,2,2,2,6,5,5,5,5,5,3,6,4,5,5,3,5,6,3,3,5,2,3,5,2,3,2,3,3,3,3,5,4,4,4,3,3,2,1,1997,1,70,12,6,12,12,3,3,2,1,2,2,2
75,15,1,2,2,2,3,4,2,2,1,2,6,5,6,6,4,4,6,3,4,3,4,5,3,5,6,3,6,5,3,3,2,4,3,3,2,4,3,4,3,2,2,4,1,1996,1,80,13,0,10,10,3,3,2,1,2,2,2
2,1,2,2,3,3,5,4,3,5,5,5,2,2,2,2,2,6,2,6,7,7,6,7,4,4,5,4,4,4,2,2,2,4,3,3,3,4,4,5,5,3,3,4,1,1997,1,65,0,0,0,0,3,2,2,1,2,2,2
73,44,1,2,2,1,3,3,2,3,2,3,4,5,3,4,3,5,4,4,5,5,4,5,3,2,6,3,5,3,1,2,3,1,3,3,2,5,2,4,4,2,4,3,1,1997,1,80,8,0,12,8,3,1,2,1,2,1,2
5,2,2,1,4,1,6,3,6,2,2,2,1,1,1,1,1,7,2,6,7,6,6,6,3,2,3,1,2,7,2,2,2,1,5,3,1,6,3,2,2,2,2,2,1,1998,1,65,10,0,10,5,3,3,2,2,2,2,1
77,27,1,1,3,2,2,2,3,2,3,3,4,4,5,5,4,3,5,4,4,4,4,5,3,3,5,2,3,4,3,2,2,2,3,3,2,5,3,5,4,2,3,3,1,1998,1,71,0,0,12,20,3,2,2,1,2,1,2
77,1,2,2,3,3,4,5,3,2,2,5,2,5,4,4,3,4,6,5,2,2,2,2,2,5,5,2,6,3,5,2,6,5,2,2,2,2,2,4,5,2,3,3,2,1998,2,66,0,0,20,40,1,1,2,2,2,1,2
66,47,1,1,3,1,2,2,3,2,3,2,5,4,5,5,2,6,3,5,4,3,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,3,2,NA,2,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,70,1,2,1,3,3,2,3,4,6,6,6,5,3,3,2,5,3,3,3,3,2,2,3,3,6,3,6,2,2,2,3,2,1,2,2,3,2,5,3,1,3,2,1,1996,1,65,0,0,12,12,2,1,2,1,2,1,2
60,10,1,1,4,2,4,2,4,3,1,1,3,3,3,2,3,6,4,5,6,3,5,3,2,3,6,3,3,3,3,3,2,3,2,2,2,2,2,5,6,2,1,3,2,1997,1,90,15,1,8,12,3,3,2,1,2,2,2
9,9,2,1,4,1,3,3,3,1,3,3,5,5,5,2,3,4,5,3,3,3,3,3,2,6,7,5,6,1,5,3,3,2,3,2,1,3,2,3,6,6,3,3,2,1997,2,82,5,5,16,40,1,1,2,1,2,1,1
1,2,1,1,1,2,4,5,3,5,5,6,2,2,2,2,3,5,3,5,3,2,3,3,2,5,6,2,3,3,5,3,2,3,2,1,2,2,2,6,4,3,3,2,1,1995,1,60,0,0,0,5,2,1,2,1,2,2,2
59,17,1,2,3,1,5,6,3,3,3,4,3,4,2,2,4,3,6,4,5,5,3,5,3,5,5,3,5,3,3,3,3,3,5,5,2,3,3,3,5,3,3,3,1,1997,2,70,0,5,2,5,1,3,2,1,1,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,2,1,2,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,10,2,2,2,2,6,7,3,6,5,5,3,3,3,3,3,5,4,5,6,6,5,6,3,3,6,4,3,5,2,2,2,2,5,4,3,4,4,4,2,2,3,3,1,1997,1,71,7,0,0,5,5,3,2,1,1,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,70,2,1,2,1,2,5,4,3,5,5,3,3,5,2,3,5,6,5,5,6,6,6,3,2,5,3,4,3,3,2,2,6,3,3,3,3,3,5,3,5,3,4,1,1998,1,75,8,0,8,6,3,3,2,1,2,2,2
81,61,1,1,4,3,2,3,3,3,2,2,3,5,5,5,3,5,3,5,3,4,3,3,2,2,6,4,5,3,2,3,2,4,2,3,3,5,2,5,3,3,2,3,1,1998,1,60,15,0,10,10,2,3,2,2,2,2,2
30,10,2,2,1,1,4,3,5,6,4,6,2,3,3,3,6,5,6,5,4,3,3,2,3,3,6,3,5,5,2,4,4,2,3,3,3,3,3,5,5,3,5,3,1,1998,1,63,7,6,1.5,8,3,2,2,1,2,1,2
