game_id,mean_user,vol_user,mean_critic,vol_critic,ESRB_rating,genre,weekend_release,major_studio,multiplayers,vol_mods
3408,54,44,55,8,1,1,0,1,0,0
3409,46,17,60,10,2,1,0,1,0,0
4377,80,163,75,20,3,2,0,1,0,0
4375,48,64,49,10,3,2,0,1,0,0
1,26,98,26,5,3,1,0,1,0,0
1297,83,236,84,55,3,1,0,1,0,0
3602,81,37,82,24,1,5,0,1,0,0
610,75,826,83,36,4,1,0,1,0,0
3137,87,380,88,32,4,1,0,1,1,0
2429,88,34,84,16,3,3,0,1,0,0
603,30,1108,73,10,4,1,0,1,0,0
604,21,3413,68,14,4,1,0,1,0,0
4374,53,29,58,13,3,2,0,1,0,0
4618,61,39,68,16,4,2,0,1,0,0
4412,63,47,68,31,4,2,0,1,0,0
4047,83,16,78,37,3,3,0,1,0,0
2037,71,73,63,17,3,1,0,1,0,0
4311,84,91,90,15,3,5,0,1,0,0
4708,66,20,52,28,3,1,0,1,0,0
3979,24,12,42,5,3,1,0,1,0,0
3601,78,5,64,22,3,3,0,1,0,0
3567,84,34,68,11,5,2,0,1,0,0
4488,89,714,80,61,4,4,0,1,0,0
527,74,191,81,24,2,5,0,1,0,0
3460,77,359,76,36,4,1,0,1,0,0
4450,85,75,75,26,3,2,0,1,0,0
3861,55,123,57,9,3,2,0,1,0,0
3568,35,99,42,13,1,2,0,1,0,0
3219,91,1165,92,58,3,3,0,1,0,0
4373,79,134,78,13,3,1,0,1,0,0
4707,81,148,77,22,4,1,1,1,0,0
2371,79,58,82,22,3,1,0,1,1,0
607,27,5286,78,26,4,1,0,1,0,0
3142,32,11,29,4,4,1,1,1,0,0
606,43,6583,86,40,4,1,0,1,0,0
599,84,722,86,64,3,1,0,1,0,0
3030,76,319,81,62,4,1,0,1,0,0
611,32,615,73,21,4,1,1,1,1,0
829,80,45,76,8,2,5,1,1,1,0
1178,43,16,56,4,2,1,0,1,0,0
3505,73,93,80,22,4,1,0,1,0,0
600,46,1183,78,18,4,1,0,1,0,0
1126,76,972,87,83,4,1,0,1,0,0
609,82,218,87,54,3,1,0,1,0,0
3600,82,25,65,13,1,3,0,1,0,0
215,70,7,73,4,3,5,0,0,0,0
1670,49,12,46,7,4,3,1,0,0,0
1680,66,75,19,4,3,1,0,0,0,0
592,74,16,68,5,3,5,0,0,0,0
3506,48,85,45,13,4,1,0,0,0,0
632,68,5,46,5,3,3,0,0,0,0
4522,85,11,67,4,1,5,0,0,0,0
2528,60,97,38,5,1,3,0,0,0,0
1685,68,4,55,6,1,3,0,0,0,0
3980,48,4,74,6,3,5,0,0,1,0
1813,78,297,73,7,3,1,0,0,0,0
1878,69,10,78,5,5,5,0,0,1,0
1032,75,10,69,18,5,1,0,0,1,0
3529,69,13,78,5,5,1,1,0,0,0
1192,85,63,82,6,2,1,0,0,0,53036
2118,64,5,80,5,5,4,0,0,0,0
3481,46,5,67,7,5,2,0,0,1,0
2042,78,131,75,43,5,2,1,0,0,0
365,80,7,80,4,2,1,0,0,1,0
2734,70,13,69,14,5,1,1,0,1,0
4611,76,40,80,18,5,1,0,0,1,0
3176,62,31,64,25,5,1,1,0,1,0
3149,64,14,75,14,5,5,0,0,1,0
3748,58,4,49,4,5,1,1,0,0,0
4528,77,93,76,9,5,1,1,0,1,0
3061,76,44,66,16,5,1,0,0,0,0
4595,84,8,68,4,5,2,0,0,1,0
4760,61,19,85,13,5,1,0,0,0,0
4382,65,10,61,14,5,2,0,0,1,0
3750,83,42,79,6,5,1,0,0,1,1344
4193,71,9,72,8,5,2,0,0,1,0
48,52,5,58,4,5,2,1,0,0,0
1794,68,24,55,11,5,4,1,0,0,0
4761,85,33,86,6,4,5,1,0,1,0
496,78,16,85,8,3,1,0,0,0,0
4762,83,52,78,8,5,2,0,0,1,0
3499,77,6,82,7,5,1,0,0,0,0
1100,78,13,75,5,5,3,0,0,1,0
221,78,188,78,30,3,1,0,0,0,0
863,68,4,80,6,3,1,0,0,1,0
621,72,100,80,19,5,1,1,0,1,0
2742,74,7,82,5,5,1,0,0,0,0
934,68,16,55,13,5,2,0,0,0,0
2185,81,352,85,38,5,4,0,0,0,263
2184,81,699,82,51,5,4,0,0,0,995
687,74,44,81,23,5,2,0,0,1,0
549,83,357,82,38,5,2,0,0,0,0
3282,81,97,80,29,5,2,0,0,0,0
2303,87,573,85,47,5,2,1,0,0,0
1098,52,14,60,5,5,2,0,0,0,0
1291,73,533,77,36,3,3,0,0,1,0
1204,79,169,79,29,5,3,0,0,1,0
206,66,62,75,11,5,2,0,0,1,0
147,70,5,84,6,5,1,1,0,0,13
199,75,11,63,4,5,4,1,0,0,0
1530,81,59,80,7,5,5,1,0,0,0
4534,56,143,76,5,5,4,0,0,0,0
1113,76,43,72,8,5,4,0,0,1,0
1688,54,2082,86,56,4,2,0,0,0,0
1693,84,78,84,32,1,5,0,0,1,0
4612,82,357,89,23,5,2,0,0,1,0
